#{"t_start": 1713328390.8060434, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
3248.78884,1676,918.270429,456,24
2441.092616,1158,919.444946,359,18
5947.981317,2900,923.781461,723,45
57.050389,116,924.31446,12,1
3795.442946,1976,927.047473,560,31
1719.799698,919,928.079034,285,8
3149.015793,1574,930.526162,470,26
2256.214791,1212,932.797189,392,16
3374.692087,1633,935.250238,474,21
3497.708667,1756,936.804756,490,25
1226.517619,709,938.722757,230,10
3585.117734,1833,941.326757,520,29
3640.303297,1880,943.953342,533,27
4296.292449,2136,946.769781,596,34
2681.605738,1375,948.089809,408,16
2538.691996,1346,950.415842,411,15
2616.809858,1386,952.730889,378,21
3252.680532,1639,954.20989,494,25
3087.343164,1595,956.681889,450,20
2693.13285,1350,959.001889,409,20
3086.420742,1617,961.47345,397,24
3243.253383,1632,962.956689,447,23
2645.166,1406,965.346834,402,19
2129.101639,1088,967.48187,352,14
2310.612199,1177,968.688397,364,15
4792.945738,2389,971.709397,602,39
3901.729466,2019,974.415396,592,30
1806.300788,812,976.392408,210,5
310.053133,241,976.995958,53,4
2235.299116,1171,978.178597,363,18
4302.576945,2136,980.97985,561,36
505.078704,349,982.66092,94,2
3250.638449,1605,984.120929,507,27
4659.94186,2183,986.945677,618,39
2981.212491,1517,989.366248,466,19
2947.195317,1539,991.786248,467,22
1273.226528,745,992.710134,226,7
4271.13017,2119,995.494068,537,33
6548.540741,2972,999.887581,749,60
5364.394111,2481,1002.900583,643,47
892.116006,551,1003.690594,146,7
3345.127528,1666,1006.203541,530,29
4433.636721,2057,1008.965109,567,36
2258.242258,1208,1011.166686,342,14
4967.65587,2485,1014.188722,667,41
4885.975328,2383,1017.123721,610,46
4044.20189,2121,1019.92172,576,26
3311.992491,1755,1022.504711,517,27
2551.255076,1339,1024.827765,428,15
3189.038937,1708,1026.353285,475,23
2176.758227,1178,1028.54232,362,14
6072.384757,3157,1032.975331,738,50
1454.873563,794,1033.937327,256,9
5345.714232,2738,1037.134045,633,35
1054.800755,626,1038.971091,169,8
2319.677537,1219,1040.18209,350,17
3848.614971,2057,1042.924133,510,30
5000.414558,2585,1046.021631,666,37
2446.471429,1263,1048.262114,340,17
3577.189908,1918,1050.940671,530,28
3726.975374,1949,1053.626671,540,23
7247.031672,3535,1058.340678,767,59
7172.130997,3287,1061.864937,818,60
2762.692616,1458,1064.263605,417,19
2390.5259,1243,1066.533689,371,17
5501.37154,2428,1069.530837,574,46
1168.735618,680,1070.410846,207,4
2256.335424,1191,1072.637437,380,14
1531.228232,871,1073.643438,284,12
1671.620853,961,1075.713438,279,10
1254.129481,729,1076.626441,222,5
1121.798857,674,1077.50444,203,9
1720.589005,923,1079.56644,281,13
5499.243263,2595,1082.588813,704,47
480.913582,323,1083.240823,70,1
2985.857226,1569,1085.674325,450,24
4683.9741,2215,1088.528844,610,41
3149.905961,1587,1091.017843,484,24
3364.552174,1721,1093.554856,485,23
1940.48777,1090,1094.693474,325,12
2283.068958,1236,1096.917869,355,18
5774.33095,2625,1100.036839,694,49
5631.076346,2787,1103.239333,680,50
3234.808279,1666,1105.763851,493,25
1101.462313,621,1107.616854,186,5
5091.293689,2463,1110.678864,688,41
5768.907089,2810,1113.872887,697,49
6660.084525,3353,1118.429889,773,57
3950.450443,1895,1121.106886,555,31
5307.988592,2614,1124.174984,696,49
1269.33997,756,1125.111014,227,9
1755.864624,964,1127.209027,292,12
1625.381293,933,1128.243547,282,9
4522.898978,2177,1131.070546,614,37
5072.768667,2509,1135.118544,704,42
4532.371016,2116,1137.891556,642,36
3148.035843,1665,1139.392567,455,19
2599.736906,1331,1141.706605,411,18
6751.975952,3185,1146.159251,813,59
2604.451948,1383,1147.481271,385,22
1704.32659,964,1149.542275,315,10
1264.519879,726,1150.456272,210,6
5541.169489,2716,1153.635271,683,45
4476.873071,2281,1157.603352,629,39
4216.051136,2086,1160.356822,579,36
4341.963115,2201,1163.224346,630,33
3562.717377,1812,1165.82035,510,26
3839.581486,1806,1167.418346,553,29
2863.272221,1530,1169.846543,459,20
2977.381081,1558,1172.32025,467,22
5166.668128,2374,1175.285293,618,43
3163.035681,1525,1177.694333,456,23
3438.22586,1716,1180.240853,509,28
5574.961753,2632,1183.352855,719,43
3575.452282,1834,1185.970508,544,26
2574.942956,1306,1187.24652,386,19
2595.668,1385,1189.588587,453,21
3670.270083,1800,1192.201114,521,26
5901.757339,2876,1195.463633,730,48
2409.456415,1297,1197.773634,416,15
4957.846302,2414,1200.741644,647,39
3088.276011,1607,1203.204548,484,20
2874.954333,1481,1205.61665,470,20
2039.03953,1079,1206.749689,330,17
1628.049811,876,1208.76374,270,11
5289.606467,2670,1211.871255,634,44
4549.406835,2243,1214.737255,561,41
4489.718614,2255,1217.599314,613,34
3576.986368,1809,1220.187764,541,26
2165.893424,1183,1222.384518,357,16
1729.010541,974,1223.449549,293,11
1479.768504,809,1225.405562,253,12
3378.685278,1698,1226.928596,518,23
2280.791643,1226,1229.162122,379,16
3206.687839,1572,1231.670123,489,24
1381.985501,802,1232.635122,245,7
3796.839229,1858,1235.275122,516,31
5761.151422,2669,1238.404823,716,46
1518.718602,821,1240.509831,259,8
2328.952022,1162,1241.686348,348,17
5909.565729,2776,1245.934003,685,48
